price,carpet_area,bedroom,bathroom,transaction_type,floor_category,luxury_category,property_type,regions,balconies_iter,furnished_status_imputed,additional_room
1.14,1410.0,3.0,3.0,new property,Mid Floor,Medium,flat,bangalore,2.0,0,0.0
3.5,2550.0,4.0,4.0,resale,High Floor,Medium,flat,bangalore,3.0,0,1.0
3.96,1312.0,4.0,4.0,new property,High Floor,Medium,flat,mumbai,2.0,0,0.0
2.5,960.0,2.0,2.0,resale,Low Floor,Low,residential,bangalore,2.0,1,0.0
0.85,504.0,2.0,2.0,resale,High Floor,Medium,flat,beyond thane,2.0,0,0.0
0.95,950.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,2,0.0
4.3,1500.0,8.0,4.0,resale,Low Floor,Medium,residential,bangalore,2.0,1,0.0
0.99,1012.0,3.0,3.0,new property,High Floor,Low,flat,bangalore,3.0,0,0.0
4.9,1100.0,3.0,3.0,new property,Mid Floor,Low,flat,mumbai,3.0,1,0.0
1.6,1192.0,3.0,3.0,new property,High Floor,High,flat,navi mumbai,2.0,0,0.0
0.42,540.0,2.0,2.0,resale,High Floor,Low,villa,beyond thane,2.0,0,0.0
1.3,1628.0,3.0,4.0,resale,Mid Floor,Low,flat,greater noida,3.0,0,1.0
2.57,1636.0,4.0,4.0,new property,High Floor,High,flat,bangalore,3.0,0,0.0
4.15,2600.0,3.0,3.0,new property,Mid Floor,Low,flat,bangalore,3.0,0,0.0
3.5,4700.0,3.0,3.0,new property,High Floor,Medium,villa,bangalore,3.0,1,1.0
1.0,1266.0,3.0,3.0,resale,High Floor,Low,flat,gurgaon,3.0,0,0.0
3.5,1428.0,3.0,3.0,new property,Mid Floor,Medium,flat,gurgaon,3.0,1,0.0
1.7,1568.0,3.0,3.0,resale,Mid Floor,High,flat,noida,3.0,1,0.0
3.9,2025.0,3.0,4.0,new property,Mid Floor,Medium,builder-floor,gurgaon,3.0,1,1.0
0.42,792.0,2.0,2.0,resale,Low Floor,Low,flat,beyond thane,2.0,0,0.0
2.6,1440.0,3.0,3.0,resale,Low Floor,Medium,builder-floor,new delhi,2.0,0,0.0
3.0,1364.0,5.0,5.0,resale,Low Floor,Medium,flat,noida,3.0,1,0.0
8.0,1429.0,3.0,3.0,resale,High Floor,Low,penthouse,navi mumbai,2.0,1,0.0
1.6,1058.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,1,0.0
0.45,1009.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,1,0.0
0.81,1326.0,3.0,2.0,new property,Mid Floor,Medium,flat,bangalore,2.0,0,0.0
1.08,596.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,0,0.0
1.76,1530.0,3.0,3.0,new property,High Floor,Medium,flat,greater noida,3.0,0,0.0
4.5,1200.0,3.0,3.0,resale,High Floor,High,flat,thane,3.0,0,0.0
1.51,1139.0,3.0,3.0,new property,High Floor,Low,flat,pune,3.0,0,0.0
1.8,917.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,1,0.0
0.67,518.0,2.0,2.0,resale,High Floor,Low,flat,thane,2.0,0,0.0
1.3,942.0,2.0,2.0,resale,Mid Floor,Medium,flat,bangalore,2.0,0,0.0
1.8,587.0,2.0,2.0,resale,High Floor,Low,flat,mumbai,2.0,2,0.0
0.52,1068.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,0,1.0
0.69,1050.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,2,0.0
0.45,492.0,2.0,2.0,resale,High Floor,Low,flat,beyond thane,2.0,0,0.0
5.9,1800.0,3.0,4.0,resale,High Floor,Medium,flat,gurgaon,3.0,0,1.0
1.24,1200.0,3.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,0,1.0
1.78,1338.0,2.0,2.0,resale,High Floor,Low,builder-floor,bangalore,2.0,0,0.0
2.45,3200.0,4.0,5.0,resale,High Floor,Medium,villa,bangalore,3.0,0,0.0
1.5,2640.0,10.0,5.0,resale,Low Floor,High,residential,bangalore,5.0,0,0.0
1.85,1146.0,3.0,3.0,resale,Mid Floor,Low,flat,thane,3.0,1,0.0
1.2,600.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,bangalore,2.0,2,0.0
4.6,1318.0,4.0,4.0,resale,Mid Floor,High,flat,mumbai,3.0,0,0.0
0.25,500.0,2.0,2.0,resale,Mid Floor,Low,builder-floor,new delhi,2.0,1,0.0
1.51,1510.0,3.0,3.0,new property,Mid Floor,Medium,flat,bangalore,3.0,1,0.0
10.0,2878.0,4.0,5.0,resale,High Floor,High,flat,gurgaon,3.0,1,0.0
0.65,912.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,0,0.0
1.35,1011.0,3.0,2.0,resale,High Floor,Medium,flat,greater noida,4.0,1,0.0
2.5,880.0,2.0,2.0,resale,Low Floor,Low,flat,pune,2.0,2,0.0
0.36,912.0,2.0,2.0,resale,High Floor,Low,residential,bangalore,2.0,2,0.0
2.65,975.0,3.0,2.0,resale,Low Floor,Medium,flat,bangalore,2.0,0,0.0
1.24,627.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,3.0,0,0.0
10.44,1335.0,3.0,4.0,new property,High Floor,High,flat,mumbai,3.0,1,0.0
2.49,1536.0,3.0,3.0,new property,Mid Floor,Low,flat,bangalore,2.0,0,1.0
1.38,1060.0,3.0,2.0,new property,High Floor,Low,flat,bangalore,3.0,0,0.0
0.63,1022.0,3.0,3.0,resale,Mid Floor,Low,flat,pune,3.0,0,0.0
1.2,585.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
1.8,1920.0,5.0,3.0,resale,Low Floor,Medium,residential,bangalore,3.0,2,0.0
1.55,1022.0,2.0,2.0,resale,High Floor,Low,flat,bangalore,2.0,1,0.0
1.5,1112.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,3.0,2,0.0
0.65,739.0,2.0,2.0,resale,High Floor,Medium,flat,greater noida,2.0,0,0.0
1.85,806.0,2.0,2.0,resale,Low Floor,Low,flat,bangalore,2.0,0,0.0
2.18,1800.0,4.0,3.0,resale,High Floor,Medium,villa,beyond thane,3.0,1,0.0
2.7,1430.0,3.0,2.0,resale,Mid Floor,High,flat,bangalore,2.0,1,0.0
3.25,1300.0,3.0,3.0,resale,High Floor,High,flat,bangalore,2.0,0,1.0
1.5,1008.0,3.0,3.0,resale,Mid Floor,Low,flat,thane,3.0,2,0.0
9.98,877.0,3.0,2.0,new property,High Floor,Medium,flat,mumbai,3.0,1,1.0
1.83,1428.0,3.0,3.0,new property,Mid Floor,Medium,flat,bangalore,3.0,1,0.0
1.55,555.0,2.0,2.0,new property,Mid Floor,Low,flat,mumbai,2.0,0,1.0
0.37,691.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,0,0.0
0.6,600.0,2.0,2.0,resale,Mid Floor,Medium,flat,navi mumbai,2.0,0,0.0
0.45,802.0,2.0,2.0,resale,Mid Floor,Low,flat,navi mumbai,2.0,0,0.0
12.0,4000.0,4.0,5.0,resale,High Floor,High,residential,bangalore,3.0,1,1.0
1.6,640.0,8.0,8.0,resale,High Floor,High,residential,bangalore,4.0,1,0.0
4.42,3230.0,4.0,4.0,new property,Mid Floor,Medium,flat,bangalore,4.0,0,1.0
2.86,2228.0,4.0,4.0,resale,High Floor,Medium,flat,pune,3.0,0,0.0
0.9,884.0,3.0,2.0,resale,Low Floor,Low,flat,navi mumbai,3.0,1,0.0
2.75,1600.0,3.0,3.0,resale,Mid Floor,Medium,penthouse,pune,2.0,0,1.0
0.69,1008.0,3.0,3.0,resale,High Floor,Medium,residential,bangalore,3.0,0,0.0
3.3,3600.0,4.0,4.0,resale,Mid Floor,Low,flat,gurgaon,6.0,1,1.0
7.0,2700.0,4.0,5.0,resale,Mid Floor,Medium,flat,bangalore,3.0,0,1.0
0.52,650.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
1.15,1032.0,2.0,2.0,resale,Mid Floor,Low,flat,bangalore,2.0,2,0.0
0.67,780.0,2.0,2.0,resale,Mid Floor,Low,flat,pune,2.0,1,0.0
0.92,886.0,2.0,2.0,new property,Mid Floor,Low,flat,pune,2.0,0,0.0
3.2,1504.0,3.0,3.0,resale,High Floor,High,flat,bangalore,2.0,1,1.0
4.93,1346.0,4.0,4.0,new property,High Floor,High,flat,mumbai,3.0,0,1.0
2.75,1354.0,3.0,3.0,resale,Mid Floor,Medium,flat,bangalore,3.0,0,0.0
11.0,4444.0,4.0,4.0,new property,Mid Floor,Low,flat,pune,3.0,0,1.0
1.1,800.0,2.0,2.0,resale,Low Floor,Low,flat,gurgaon,2.0,0,0.0
1.73,1500.0,3.0,3.0,resale,High Floor,Medium,villa,bangalore,3.0,0,0.0
3.3,950.0,3.0,3.0,resale,Mid Floor,Medium,flat,mumbai,3.0,0,0.0
6.8,8200.0,5.0,5.0,resale,High Floor,High,villa,bangalore,4.0,0,1.0
0.8,742.0,3.0,2.0,resale,Mid Floor,Medium,flat,noida,3.0,2,0.0
2.1,620.0,6.0,6.0,resale,High Floor,High,residential,greater noida,6.0,1,0.0
0.9,623.0,2.0,2.0,resale,Mid Floor,Low,flat,thane,2.0,0,0.0
0.85,700.0,2.0,2.0,new property,Mid Floor,Medium,flat,noida,4.0,1,0.0
5.5,2250.0,4.0,5.0,new property,Mid Floor,Medium,builder-floor,new delhi,3.0,1,1.0
1.8,960.0,3.0,2.0,resale,High Floor,Medium,residential,bangalore,3.0,0,0.0
4.22,2313.0,4.0,4.0,resale,Mid Floor,High,flat,bangalore,2.0,1,0.0
0.95,554.0,2.0,2.0,resale,Mid Floor,Low,flat,beyond thane,2.0,1,0.0
3.6,1665.0,3.0,3.0,resale,Low Floor,Medium,builder-floor,new delhi,2.0,1,0.0
2.1,1388.0,3.0,3.0,resale,Mid Floor,High,flat,gurgaon,3.0,2,0.0
0.85,1225.0,4.0,4.0,resale,Low Floor,Low,flat,pune,3.0,0,0.0
3.79,915.0,2.0,2.0,resale,High Floor,High,flat,mumbai,2.0,1,0.0
2.0,700.0,2.0,2.0,resale,High Floor,Low,flat,mumbai,2.0,0,0.0
1.2,1400.0,3.0,3.0,resale,Mid Floor,Low,flat,bangalore,4.0,1,0.0
2.15,1650.0,3.0,3.0,resale,Mid Floor,Low,flat,gurgaon,4.0,0,1.0
0.81,754.0,2.0,2.0,resale,High Floor,Low,flat,mumbai,2.0,0,0.0
0.88,900.0,2.0,2.0,resale,Mid Floor,Medium,flat,pune,2.0,1,1.0
1.2,3400.0,5.0,6.0,resale,Mid Floor,High,residential,bangalore,4.0,2,1.0
1.8,810.0,2.0,2.0,resale,Low Floor,Low,flat,mumbai,2.0,0,0.0
2.45,1155.0,3.0,3.0,resale,Low Floor,Low,flat,noida,5.0,1,0.0
1.65,1082.0,2.0,2.0,resale,Mid Floor,Medium,flat,bangalore,2.0,1,1.0
